Date,gross_return,cost,net_return,exposure,n_holdings,equity_gross,equity_net
2005-02-01,0.0,0.0,0.0,1.0,1,1.0,1.0
2005-02-02,0.0030271602914464513,0.0,0.0030271602914464513,1.0,1,1.0030271602914465,1.0030271602914465
2005-02-03,-0.0025996758060270464,0.0,-0.0025996758060270464,1.0,1,1.0004196148500488,1.0004196148500488
2005-02-04,0.010676443751663323,0.0,0.010676443751663323,1.0,1,1.011100538596056,1.011100538596056
2005-02-07,-0.0013308846009636444,0.0,-0.0013308846009636444,1.0,1,1.0097548804592125,1.0097548804592125
2005-02-08,0.0011656992684221379,0.0,0.0011656992684221379,1.0,1,1.0109319509846495,1.0109319509846495
2005-02-09,-0.007486439681271828,0.0,-0.007486439681271828,1.0,1,1.0033636699117325,1.0033636699117325
2005-02-10,0.003603526935996637,0.0,0.003603526935996637,1.0,1,1.0069793179228599,1.0069793179228599
2005-02-11,0.008602019964331076,0.0,0.008602019964331076,1.0,1,1.0156413741193009,1.0156413741193009
2005-02-14,-0.0007449478920324992,0.0,-0.0007449478920324992,1.0,1,1.0148847742185898,1.0148847742185898
2005-02-15,0.0037287342550265112,0.0,0.0037287342550265112,1.0,1,1.0186690098411235,1.0186690098411235
2005-02-16,0.0006606849075316834,0.0,0.0006606849075316834,1.0,1,1.0193420290816957,1.0193420290816957
2005-02-17,-0.008085108089837423,0.0,-0.008085108089837423,1.0,1,1.011100538596056,1.011100538596056
2005-02-18,0.0013300382215537532,0.0,0.0013300382215537532,1.0,1,1.0124453409582224,1.0124453409582224
2005-02-22,-0.014867663091049366,0.0,-0.014867663091049366,1.0,1,0.997392644730753,0.997392644730753
2005-02-23,0.007166686718720561,0.0,0.007166686718720561,1.0,1,1.0045406453510943,1.0045406453510943
2005-02-24,0.0066135392549036,0.0,0.0066135392549036,1.0,1,1.01118421434227,1.01118421434227
2005-02-25,0.009897305999797545,0.0,0.009897305999797545,1.0,1,1.0211922139337803,1.0211922139337803
2005-02-28,-0.006588569229512897,0.0,-0.006588569229512897,1.0,1,1.0144640183356382,1.0144640183356382
2005-03-01,0.00497408261881116,0.0,0.00497408261881116,1.0,1,1.0195100461766509,1.0195100461766509
2005-03-02,-0.0004950582775367085,0.0,-0.0004950582775367085,1.0,1,1.0190053292892594,1.0190053292892594
2005-03-03,0.0004126284845038519,0.0,0.0004126284845038519,1.0,1,1.0194257999139853,1.0194257999139853
2005-03-04,0.012456949315946098,0.0,0.012456949315946098,1.0,1,1.0321247354348817,1.0321247354348817
2005-03-07,0.0004890997726685331,0.0,0.0004890997726685331,1.0,1,1.0326295474083484,1.0326295474083484
2005-03-08,-0.0037468882208887555,0.0,-0.0037468882208887555,1.0,1,1.0287603999206225,1.0287603999206225
2005-03-09,-0.011116662941825783,0.0,-0.011116662941825783,1.0,1,1.017324017306807,1.017324017306807
2005-03-10,0.0022313342019519844,0.0,0.0022313342019519844,1.0,1,1.019594007181091,1.019594007181091
2005-03-11,-0.00701128701475251,0.0,-0.00701128701475251,1.0,1,1.0124453409582226,1.0124453409582226
2005-03-14,0.0062303759920478985,0.0,0.0062303759920478985,1.0,1,1.0187532561037895,1.0187532561037895
2005-03-15,-0.008254611648242705,0.0,-0.008254611648242705,1.0,1,1.01034384360927,1.01034384360927
2005-03-16,-0.008490367247087294,0.0,-0.008490367247087294,1.0,1,1.0017656533311936,1.0017656533311936
2005-03-17,0.002014739701249768,0.0,0.002014739701249768,1.0,1,1.0037839503643085,1.0037839503643085
2005-03-18,-0.0029693323085067114,0.0,-0.0029693323085067114,1.0,1,1.0008033822497313,1.0008033822497313
2005-03-21,-0.003711460721640858,0.0,-0.003711460721640858,1.0,1,0.9970889398064261,0.9970889398064261
2005-03-22,-0.010161095965238842,0.0,-0.010161095965238842,1.0,1,0.9869574234031747,0.9869574234031747
2005-03-23,0.0008554262241367017,0.0,0.0008554262241367017,1.0,1,0.9878016926652602,0.9878016926652602
2005-03-24,0.0011962265967175867,0.0,0.0011962265967175867,1.0,1,0.988983327322309,0.988983327322309
2005-03-28,0.0014513129454711837,0.0,0.0014513129454711837,1.0,1,0.990418651628107,0.990418651628107
