end,start,dc_cagr,a_cagr,cagr_gap_dc_minus_a,dc_sharpe,a_sharpe,dc_sharpe_better,dc_dd,a_dd,dc_dd_better
2008-02-01,2005-02-01,0.13294204338390814,0.08830447621195292,0.04463756717195522,0.8654914129534588,0.7187312998891641,True,-0.1783655859733707,-0.1695284332048278,False
2008-03-04,2005-03-03,0.1457463802998491,0.10060432620156212,0.04514205409828698,0.9320557260854109,0.8000236305681144,True,-0.17836558597337093,-0.16952843320482847,False
2008-04-03,2005-04-04,0.1344048736237744,0.08970967139142472,0.044695202232349684,0.8602903820256848,0.7121050381859694,True,-0.17836558597337093,-0.16952843320482847,False
2008-05-02,2005-05-03,0.12141451556815586,0.07987160796681958,0.041542907601336276,0.7852924879132543,0.6394601230199527,True,-0.17836558597337093,-0.16952843320482847,False
2008-06-03,2005-06-02,0.12089329147708949,0.0820502158572387,0.038843075619850786,0.7820326381087959,0.6491722037945119,True,-0.17836558597337093,-0.16952843320482847,False
2008-07-02,2005-07-01,0.12274789316011003,0.07855957125906321,0.04418832190104682,0.7921533476683319,0.61979026294396,True,-0.17836558597337093,-0.16952843320482847,False
2008-08-01,2005-08-02,0.11626635239436278,0.07193773149120197,0.04432862090316081,0.7535973371032395,0.5717752299726094,True,-0.17836558597337093,-0.16952843320482847,False
2008-09-02,2005-08-31,0.12036421274692155,0.045603172149320415,0.07476104059760114,0.7757089902543812,0.38662196638152296,True,-0.17836558597337093,-0.16952843320482847,False
2008-10-01,2005-09-30,0.11997313934463105,0.031186525229269124,0.08878661411536193,0.7717160842026214,0.28221057163665236,True,-0.17836558597337093,-0.20418645668577973,True
2008-10-30,2005-10-31,0.11959564811116241,0.030838959863931148,0.08875668824723126,0.7695002545785824,0.2798786047478865,True,-0.17836558597337093,-0.20418645668577973,True
2008-12-01,2005-11-30,0.13596944028083002,0.031239305918377536,0.10473013436245249,0.8561052608027355,0.2824892868668411,True,-0.17836558597337093,-0.20418645668577973,True
2008-12-31,2005-12-30,0.1425488056166453,0.030399565924600802,0.11214923969204449,0.8902501721423022,0.276922449196285,True,-0.17836558597337093,-0.20418645668577973,True
2009-02-02,2006-02-01,0.1371316327335661,0.03692991203802998,0.10020172069553612,0.8604782104004719,0.317015297672141,True,-0.17836558597337093,-0.22441751296533996,True
2009-03-04,2006-03-03,0.13277308429370338,0.035577843644894136,0.09719524064880924,0.8442738436558308,0.3091052897593053,True,-0.1783655859733707,-0.22441751296533985,True
2009-04-02,2006-04-03,0.12726828937536383,0.025285000492686782,0.10198328888267705,0.8187694571575056,0.2421133439050395,True,-0.17836558597337138,-0.22441751296534018,True
2009-05-04,2006-05-03,0.08715727758343084,0.0050679235965112035,0.08208935398691963,0.6066734660459657,0.1078127437913882,True,-0.17836558597337093,-0.2244175129653404,True
2009-06-03,2006-06-02,0.11965577881945588,0.03918198344759749,0.08047379537185839,0.8186608476185439,0.3377913025978133,True,-0.13690255437131338,-0.22441751296533974,True
2009-07-02,2006-07-03,0.11918270943565323,0.034082882745643195,0.08509982669001004,0.8256074814977195,0.30939748294666297,True,-0.13690255437131282,-0.22441751296534185,True
2009-08-03,2006-08-02,0.11306995892708094,0.06914705751906314,0.0439229014080178,0.7941407129006601,0.5403992167904188,True,-0.13690255437131327,-0.22441751296534107,True
2009-09-01,2006-08-31,0.11190941398803944,0.06779207599930781,0.04411733798873163,0.7856908914008023,0.5242562030010635,True,-0.13690255437131327,-0.22441751296534052,True
2009-10-01,2006-10-02,0.09814396733839792,0.08495471716881342,0.013189250169584499,0.6995227587318524,0.6311304069857979,True,-0.13690255437131305,-0.2244175129653413,True
2009-10-30,2006-10-31,0.09232751305283582,0.07573869910013542,0.0165888139527004,0.6460564368268676,0.5694151172361511,True,-0.13690255437131316,-0.22441751296534107,True
2009-12-01,2006-11-30,0.12677349416360606,0.10633560586460544,0.020437888299000617,0.8324140653069457,0.7568876351780901,True,-0.1369025543713127,-0.22441751296534107,True
2009-12-31,2007-01-03,0.10658372289390128,0.0981400013223801,0.008443721571521179,0.7116364878633985,0.7005839103883805,True,-0.13690255437131282,-0.22441751296534052,True
2010-02-02,2007-02-02,0.0873934468171893,0.0819544428447807,0.005439003972408596,0.5971183679588282,0.5940924682641383,True,-0.13690255437131305,-0.22441751296534074,True
2010-03-04,2007-03-06,0.1298477773448281,0.11984412118888255,0.010003656155945562,0.8413322039864558,0.8261434005160698,True,-0.13690255437131338,-0.22441751296534074,True
2010-04-05,2007-04-04,0.11493503180692932,0.12650315713682114,-0.01156812532989182,0.7679535117273587,0.8665381445042126,False,-0.13690255437131293,-0.22441751296534063,True
2010-05-04,2007-05-04,0.09039976113773829,0.11499379633775852,-0.024594035200020237,0.6181029140184168,0.7854576679460357,False,-0.13690255437131316,-0.2244175129653413,True
2010-06-03,2007-06-05,0.05168640205507713,0.0809799033616121,-0.029293501306534964,0.377959608508115,0.5558978656352913,False,-0.145719705750339,-0.22441751296534196,True
2010-07-02,2007-07-05,0.02479896364532519,0.06457279664579363,-0.03977383300046844,0.22812929896591883,0.4612007630645357,False,-0.15904313843950546,-0.22441751296534185,True
2010-08-03,2007-08-03,0.02133794109233289,0.06638893749738695,-0.045050996405054056,0.20932932737922533,0.47462033384344704,False,-0.1718629801809013,-0.2244175129653404,True
2010-09-01,2007-09-04,0.029076841894704497,0.0637731985757013,-0.0346963566809968,0.2591395750420973,0.4662289748575582,False,-0.1718629801809014,-0.22441751296534107,True
2010-10-01,2007-10-03,0.021773443337785414,0.057248282386597404,-0.03547483904881199,0.21589780466535724,0.43073864167519477,False,-0.17186298018090196,-0.2244175129653423,True
2010-11-01,2007-11-01,0.005720958616858729,0.047818462263483186,-0.04209750364662446,0.11404469294123451,0.3745377888485316,False,-0.17186298018090218,-0.2244175129653414,True
2010-12-01,2007-12-03,0.024674139073933787,0.07171998174469851,-0.047045842670764726,0.23955590910441754,0.5233984122319887,False,-0.17186298018090185,-0.2244175129653414,True
