signal_date,execution_date,symbol,weight,score,above_ma,trend_consistent,r3m,r6m,r12m
2005-01-31,2005-02-01,BIL,1.0,,,,,,
2005-02-28,2005-03-01,BIL,1.0,,,,,,
2005-03-31,2005-04-01,BIL,1.0,,,,,,
2005-04-29,2005-05-02,BIL,1.0,,,,,,
2005-05-31,2005-06-01,BIL,1.0,,,,,,
2005-06-30,2005-07-01,BIL,1.0,,,,,,
2005-07-29,2005-08-01,BIL,1.0,,,,,,
2005-08-31,2005-09-01,BIL,1.0,,,,,,
2005-09-30,2005-10-03,BIL,1.0,,,,,,
2005-10-31,2005-11-01,BIL,1.0,,,,,,
2005-11-30,2005-12-01,BIL,1.0,,,,,,
2005-12-30,2006-01-03,BIL,1.0,,,,,,
2006-01-31,2006-02-01,GLD,0.5,0.3210571101194071,True,True,0.22198273487805542,0.3241476218364605,0.3429653984741212
2006-01-31,2006-02-01,IWM,0.5,0.12930656308867974,True,True,0.13875238816130198,0.07308539758093624,0.18073413855723386
2006-02-28,2006-03-01,GLD,0.5,0.23561631018499368,True,True,0.14195522275579653,0.2919354314167557,0.288077217256699
2006-02-28,2006-03-01,IWM,0.5,0.12461849636522797,True,True,0.08021513632961663,0.09850254723687835,0.1653530620860082
2006-03-31,2006-04-03,VWO,0.5,0.33586938441868613,True,True,0.10512451929005917,0.1881091543316249,0.4506518666714443
2006-03-31,2006-04-03,GLD,0.5,0.2940300873916679,True,True,0.1264055139901319,0.24411129603724846,0.3568425709527461
2006-04-28,2006-05-01,VWO,0.5,0.4019546998606843,True,True,0.06724563758986046,0.35761745373048837,0.6011637753181056
2006-04-28,2006-05-01,GLD,0.5,0.39599688531281585,True,True,0.14797170127085923,0.40280159908157875,0.5014993916723616
2006-05-31,2006-06-01,GLD,0.5,0.36400482222529107,True,True,0.14553243635673896,0.3081467485337499,0.5421368788432044
2006-05-31,2006-06-01,BIL,0.5,,,,,,
2006-06-30,2006-07-03,GLD,0.5,0.21174866267907538,True,True,0.05387265318964518,0.18708796759622603,0.4095304207627024
2006-06-30,2006-07-03,BIL,0.5,,,,,,
2006-07-31,2006-08-01,BIL,1.0,,,,,,
2006-08-31,2006-09-01,SPY,0.5,0.04041859462427997,True,True,0.029075436613239525,0.02736683295083031,0.0850163906433461
2006-08-31,2006-09-01,BIL,0.5,,,,,,
2006-09-29,2006-10-02,SPY,0.5,0.057193865682707436,True,True,0.0541127289294292,0.03797688252489562,0.10544170876460113
2006-09-29,2006-10-02,IEF,0.5,0.039879674606092985,True,True,0.04719883089238941,0.04190597520688377,0.026975493693667474
2006-10-31,2006-11-01,IWM,0.5,0.12271518781843907,True,True,0.09750306321606894,0.005134850239975286,0.2082504999136301
2006-10-31,2006-11-01,IEF,0.5,0.05133841948620929,True,True,0.035470253208920166,0.05412930056284959,0.045462567564699574
2006-11-30,2006-12-01,VWO,0.5,0.23676964919616694,True,True,0.13967452751282972,0.17687292765561757,0.32496774804580286
2006-11-30,2006-12-01,GLD,0.5,0.1555273413228485,True,True,0.03371325161752603,0.0024909858999342394,0.31140532363939233
2006-12-29,2007-01-03,VWO,0.5,0.23923803663223478,True,True,0.1730377817389892,0.2252295539230995,0.29365560522653333
2006-12-29,2007-01-03,IWM,0.5,0.15000285791673762,True,True,0.08834913317066206,0.09594265314847594,0.18272857331576553
2007-01-31,2007-02-01,VWO,0.5,0.17570292328172837,True,True,0.11720553487676622,0.20389262713252876,0.15978313913753417
2007-01-31,2007-02-01,SPY,0.5,0.12612981054769418,True,True,0.04906691161789145,0.13560183827461336,0.14830055810763643
2007-02-28,2007-03-01,VWO,0.5,0.15107848828137133,True,True,0.01673339377983929,0.1587451501625543,0.15770016343500748
2007-02-28,2007-03-01,GLD,0.5,0.14498909425757994,True,True,0.03245851820307921,0.06726605201191749,0.18566084749007605
2007-03-30,2007-04-02,VWO,0.5,0.15980681255827006,True,True,0.019124158112189704,0.19547114174853797,0.19298382811246806
2007-03-30,2007-04-02,GLD,0.5,0.10737980144976467,True,True,0.0400252937184169,0.10543125129251973,0.13149741119272917
2007-04-30,2007-05-01,VWO,0.5,0.11968759980593294,True,True,0.05706899817714617,0.1809633355101461,0.14872411543367314
2007-04-30,2007-05-01,SPY,0.5,0.09869791519219384,True,True,0.035673991520651205,0.08649131572754376,0.1487844190686809
2007-05-31,2007-06-01,VWO,0.5,0.22944769042359,True,True,0.15426311104452273,0.1735778502071732,0.3811520004051019
2007-05-31,2007-06-01,QQQ,0.5,0.14952363950528486,True,True,0.0948505348915678,0.07851189925977464,0.22506454745023907
2007-06-29,2007-07-02,VWO,0.5,0.2853348924242484,True,True,0.1574744316724086,0.17961015571452843,0.4452932248892696
2007-06-29,2007-07-02,QQQ,0.5,0.1416527391882761,True,True,0.09435325158062269,0.10443030040070966,0.23169408515332757
2007-07-31,2007-08-01,VWO,0.5,0.33707203830585186,True,True,0.15426881484591815,0.22014177973629656,0.4689196926808894
2007-07-31,2007-08-01,QQQ,0.5,0.17318547585673466,True,True,0.03496903298351839,0.08003512164086657,0.28524379939617805
2007-08-31,2007-09-04,VWO,0.5,0.29775698256940275,True,True,0.08211184187426901,0.24904178109991237,0.44732110619992227
2007-08-31,2007-09-04,QQQ,0.5,0.17865222077154663,True,True,0.03160083281084747,0.12944872359754322,0.2613031701214332
2007-09-28,2007-10-01,VWO,0.5,0.3897887854690577,True,True,0.13681617489587294,0.31583565595360197,0.5730435539762888
2007-09-28,2007-10-01,QQQ,0.5,0.17949765417933927,True,True,0.08060383530959125,0.18256232084154278,0.26868709160686155
2007-10-31,2007-11-01,VWO,0.5,0.48256315091216917,True,True,0.24105893175186055,0.43251562230716134,0.6917484274902579
2007-10-31,2007-11-01,GLD,0.5,0.24178883949339836,True,True,0.19501446500248698,0.17185880217703287,0.30511289103574657
2007-11-30,2007-12-03,VWO,0.5,0.28182939343437613,True,True,0.13535810365001177,0.2285844487275912,0.44183949613569173
2007-11-30,2007-12-03,GLD,0.5,0.20215284965026964,True,True,0.16235723987943906,0.17973754370982964,0.20080758545952793
2007-12-31,2008-01-02,GLD,0.5,0.2738453350439909,True,True,0.12175209751260563,0.2830247921503295,0.3045404252304238
2007-12-31,2008-01-02,VWO,0.5,0.2239494257541958,True,True,0.023950884320681043,0.16404392759468323,0.3731180386885158
2008-01-31,2008-02-01,GLD,0.5,0.38835020819123345,True,True,0.1625540362862996,0.3892688897091541,0.40984110665406037
2008-01-31,2008-02-01,BIL,0.5,,,,,,
2008-02-29,2008-03-03,GLD,0.5,0.36373636281982524,True,True,0.24392137460929209,0.4458810156178945,0.44675083406331684
2008-02-29,2008-03-03,BIL,0.5,,,,,,
2008-03-31,2008-04-01,GLD,0.5,0.24008362913714837,True,True,0.09641043737452226,0.22990070785958383,0.37526630057796084
2008-03-31,2008-04-01,BIL,0.5,,,,,,
2008-04-30,2008-05-01,IEF,0.5,0.06850661775116418,True,True,0.0011300505151843332,0.07715260115207623,0.1183907481737958
2008-04-30,2008-05-01,BIL,0.5,,,,,,
2008-05-30,2008-06-02,BIL,1.0,,,,,,
2008-06-30,2008-07-01,GLD,0.5,0.16885020258198102,True,True,0.01095009206580122,0.10841623260567879,0.4221255064549525
2008-06-30,2008-07-01,BIL,0.5,,,,,,
2008-07-31,2008-08-01,IEF,0.5,0.039741066532118646,True,True,0.0006408149413030806,0.001771589609741886,0.11509019495499073
2008-07-31,2008-08-01,BIL,0.5,,,,,,
2008-08-29,2008-09-02,IEF,0.5,0.037637932381577775,True,True,0.034299769520653944,0.004614436444904557,0.10705901144107988
2008-08-29,2008-09-02,BIL,0.5,,,,,,
2008-09-30,2008-10-01,BIL,1.0,,,,,,
2008-10-31,2008-11-03,IEF,0.5,0.04769457877449832,True,True,0.005093192483498488,0.005737271218644091,0.08333251776875339
2008-10-31,2008-11-03,BIL,0.5,,,,,,
2008-11-28,2008-12-01,IEF,0.5,0.10326689721084784,True,True,0.06674075247534139,0.10332971442353434,0.12192165013309242
2008-11-28,2008-12-01,BIL,0.5,,,,,,
2008-12-31,2009-01-02,IEF,0.5,0.15499129081991397,True,True,0.12332016648404553,0.14707612937239056,0.1791743590916981
2008-12-31,2009-01-02,BIL,0.5,,,,,,
2009-01-30,2009-02-02,IEF,0.5,0.08549929669173047,True,True,0.08905239015145017,0.0945991435991056,0.0965383240687383
2009-01-30,2009-02-02,BIL,0.5,,,,,,
2009-02-27,2009-03-02,IEF,0.5,0.07309507198536011,True,True,0.003259358495960596,0.07021764300990929,0.07515609430579406
2009-02-27,2009-03-02,BIL,0.5,,,,,,
2009-03-31,2009-04-01,BIL,1.0,,,,,,
2009-04-30,2009-05-01,BIL,1.0,,,,,,
2009-05-29,2009-06-01,GLD,0.5,0.10715186384648051,True,True,0.03854042751461373,0.19785829750592598,0.10005717902058642
2009-05-29,2009-06-01,BIL,0.5,,,,,,
2009-06-30,2009-07-01,BIL,1.0,,,,,,
2009-07-31,2009-08-03,GLD,0.5,0.01918413499017282,True,True,0.06966886747941392,0.022341484723162663,0.0363010277153335
2009-07-31,2009-08-03,BIL,0.5,,,,,,
2009-08-31,2009-09-01,BIL,1.0,,,,,,
2009-09-30,2009-10-01,VWO,0.5,0.30321544736826694,True,True,0.21087366222063575,0.6353986836710859,0.16931458219876583
2009-09-30,2009-10-01,QQQ,0.5,0.17776855529513175,True,True,0.162476555122556,0.39653421550265255,0.09160936744736325
2009-10-30,2009-11-02,VWO,0.5,0.3191319988997527,True,True,0.06545776729819242,0.35887199550219107,0.568829472426942
2009-10-30,2009-11-02,GLD,0.5,0.2143611370758233,True,True,0.09833958709405555,0.1748596622347054,0.4372021873070995
2009-11-30,2009-12-01,VWO,0.5,0.49616050075716966,True,True,0.15011450387255731,0.23543857754193853,0.8406526767156057
2009-11-30,2009-12-01,GLD,0.5,0.3369244815042104,True,True,0.23811560492969974,0.20207903386800963,0.4399203449767024
2009-12-31,2010-01-04,VWO,0.5,0.4117864977953514,True,True,0.07854868438257423,0.3059861953415761,0.7631091412559763
2009-12-31,2010-01-04,QQQ,0.5,0.3163892312328685,True,True,0.08464655861141734,0.26087619498013614,0.5468408824422857
