,nav_dc,nav_spy,relative_nav,relative_peak,relative_drawdown
2008-07-01,1.0,1.0,1.0,1.0,0.0
2008-07-02,0.990435357162604,0.9868372905464268,1.003646058626529,1.003646058626529,0.0
2008-07-03,0.9905497399086912,0.9864540003078935,1.0041519823524658,1.0041519823524658,0.0
2008-07-07,0.9878229669577963,0.9775049211127578,1.0105554924810944,1.0105554924810944,0.0
2008-07-08,0.9972754944988393,0.9909031384943386,1.0064308566165039,1.0105554924810944,-0.00408155306193414
2008-07-09,0.9867083082583862,0.9763461252061785,1.0106132269946988,1.0106132269946988,0.0
2008-07-10,0.9903073346766329,0.981800143039327,1.0086648914217617,1.0106132269946988,-0.0019278746021669235
2008-07-11,0.9842178376964779,0.974509077449777,1.0099627191489156,1.0106132269946988,-0.0006436763624375619
2008-07-14,0.9801282048383027,0.9683248006314552,1.0121895093455733,1.0121895093455733,0.0
2008-07-15,0.9754186406657898,0.957839040232301,1.018353397277715,1.018353397277715,0.0
2008-07-16,0.9875082128295293,0.9745496851750073,1.0132969389366688,1.018353397277715,-0.0049653277089890535
2008-07-17,0.991190394816733,0.9818931048246987,1.0094687394649686,1.018353397277715,-0.008724532992669398
2008-07-18,0.9905637038682393,0.9868344649078141,1.0037789914043724,1.018353397277715,-0.014311736880638137
2008-07-21,0.990970130376065,0.9881964819594653,1.0028067782745997,1.018353397277715,-0.01526642818168511
2008-07-22,0.9952097397588465,0.9949833466705279,1.0002275345502778,1.018353397277715,-0.017799187174012188
2008-07-23,0.9992735147564975,0.9966401074637282,1.002642285086711,1.018353397277715,-0.015427956771198792
2008-07-24,0.9896838286327533,0.9808623606630376,1.0089935839354185,1.018353397277715,-0.009191124974215592
2008-07-25,0.9916324399605113,0.9810901728389336,1.0107454619498144,1.018353397277715,-0.007470820393233102
2008-07-28,0.9837506073853719,0.9696627782925406,1.0145285860282667,1.018353397277715,-0.0037558781260738083
2008-07-29,0.9941311083320904,0.9848831048029183,1.0093899504256627,1.018353397277715,-0.0088019020469845
2008-07-30,1.001169083597988,0.9977795092857529,1.0033971175802774,1.018353397277715,-0.014686728337548693
2008-07-31,0.9961693315839961,0.9878130243861633,1.008459401720306,1.018353397277715,-0.009715679825744172
2008-08-01,0.9922772347943671,0.9832671877681071,1.0091633760775764,1.018353397277715,-0.009024392931476943
2008-08-04,0.9876689940597062,0.9759317449679082,1.0120267110403136,1.018353397277715,-0.006212662769441324
2008-08-05,1.0020102308794439,0.9964462051086019,1.0055838696984505,1.018353397277715,-0.01253938722392478
2008-08-06,1.005645782583543,0.9999890784111918,1.005656765953223,1.018353397277715,-0.012467804750721068
2008-08-07,0.9995473174556673,0.9890083344668346,1.0106561114012393,1.018353397277715,-0.007558560610739118
2008-08-08,1.0093695141371477,1.003646794365082,1.0057019260203846,1.018353397277715,-0.012423458586332314
2008-08-11,1.0145130570667191,1.0115367103641026,1.0029424010736547,1.018353397277715,-0.015133249660930326
2008-08-12,1.01063790432619,1.0036807980895153,1.0069315924444477,1.018353397277715,-0.011215953974131443
2008-08-13,1.0086257128447436,0.9986955221198673,1.0099431613589276,1.018353397277715,-0.008258661424678126
2008-08-14,1.0129579610811452,1.0050195027730422,1.0078988102083584,1.018353397277715,-0.010266168009361087
2008-08-15,1.0145084100569393,1.0093346383976995,1.0051259230213807,1.018353397277715,-0.012989080501615957
2008-08-18,1.0075694131115707,0.9984243333137955,1.0091595121359096,1.018353397277715,-0.00902818723478771
2008-08-19,1.0022756569973121,0.9896435994632256,1.012764249211472,1.018353397277715,-0.005488416969182008
2008-08-20,1.0041652968196138,0.9936088648245965,1.0106243335468639,1.018353397277715,-0.007589765744890342
2008-08-21,1.004199124011916,0.9947902908129033,1.0094581071869169,1.018353397277715,-0.008734973649203948
2008-08-22,1.0113640693667085,1.0060490537631872,1.0052830581010341,1.018353397277715,-0.012834777407941922
2008-08-25,1.0008320628620844,0.9902979842878538,1.0106372816479132,1.018353397277715,-0.007577051002558344
2008-08-26,1.0017677514943004,0.9926585215881458,1.0091765997148554,1.018353397277715,-0.009011407618800371
2008-08-27,1.0061477163952741,1.0005318198499666,1.0056129114875623,1.018353397277715,-0.012510868843970013
2008-08-28,1.0116306798707486,1.0101078674709367,1.0015075740412007,1.018353397277715,-0.016542217349642008
2008-08-29,1.0043883653939798,1.001219419950814,1.0031650858743046,1.018353397277715,-0.01491457822403508
2008-09-02,1.0008264416678851,0.9968615717309849,1.00397735257265,1.018353397277715,-0.014116950700508557
2008-09-03,0.9991057772306656,0.9964238177999966,1.00269158502914,1.018353397277715,-0.015379545342945278
2008-09-04,0.983648151848566,0.9729833144074979,1.0109609664247559,1.018353397277715,-0.007259199873757782
2008-09-05,0.9841520023144101,0.9752083901033138,1.0091709754569982,1.018353397277715,-0.009016930512790067
2008-09-08,0.9911060658845462,0.9912080653709001,0.9998970957865282,1.018353397277715,-0.018123670565173722
2008-09-09,0.977554139305712,0.9681992851159198,1.0096621163985595,1.018353397277715,-0.008534641218254091
2008-09-10,0.9803689851512942,0.9710983153325632,1.0095465821249583,1.018353397277715,-0.008648093261434897
2008-09-11,0.9881668892695645,0.9820314035894406,1.0062477489596544,1.018353397277715,-0.011887472807005639
2008-09-12,0.9894568230255829,0.9851796466600403,1.0043415192143312,1.018353397277715,-0.013759347296175006
2008-09-15,0.9687215759268287,0.9498964405160927,1.019818092381216,1.019818092381216,0.0
2008-09-16,0.9761356726729773,0.9621762827990251,1.014508141723618,1.019818092381216,-0.005206762556251188
2008-09-17,0.9550527801441171,0.9293853696110443,1.0276176184523056,1.0276176184523056,0.0
2008-09-18,0.9683663796378712,0.949413492029495,1.0199627325369707,1.0276176184523056,-0.007449157914267701
2008-09-19,0.9854801263171807,0.9769151249108549,1.0087673956395213,1.0276176184523056,-0.018343615829762183
2008-09-22,0.9709255344260634,0.9591707944599108,1.0122551062167937,1.0276176184523056,-0.014949638814726995
2008-09-23,0.9636693673230852,0.9422340264090912,1.0227494871902316,1.0276176184523056,-0.0047372983633794385
2008-09-24,0.9642897615849731,0.9445653025447016,1.0208820491152204,1.0276176184523056,-0.006554548322390219
2008-09-25,0.9723704954281791,0.956005737720926,1.0171178446546418,1.0276176184523056,-0.01021758834134967
2008-09-26,0.9720831361356534,0.9564882783672822,1.0163042852913906,1.0276176184523056,-0.01100928298402859
2008-09-29,0.9354720535682587,0.8990804562219702,1.0404764635850385,1.0404764635850385,0.0
2008-09-30,0.9512456333092224,0.9262162856962587,1.02702322124918,1.0404764635850385,-0.01292988626528302
2008-10-01,0.9498926495466632,0.926629550715507,1.0251050690248258,1.0404764635850385,-0.01477341881165617
2008-10-02,0.9310275679780646,0.8996546904259953,1.0348721324814234,1.0404764635850385,-0.0053863122326717194
2008-10-03,0.9245853078459214,0.8900090018313002,1.0388493890999713,1.0404764635850385,-0.0015637782708328718
2008-10-06,0.9027222493912292,0.8540800452506659,1.0569527463041093,1.0569527463041093,0.0
2008-10-07,0.8803740585078402,0.8240793046750227,1.06831230139315,1.06831230139315,0.0
2008-10-08,0.8712149993493653,0.8078201182025414,1.0784764822246344,1.0784764822246344,0.0
2008-10-09,0.8478289581386818,0.7645990485860595,1.1088543200603451,1.1088543200603451,0.0
2008-10-10,0.840557036299191,0.7507061519892166,1.1196884880613913,1.1196884880613913,0.0
2008-10-13,0.8951161488094853,0.8320683356804858,1.0757723980416074,1.1196884880613913,-0.03922170361492194
2008-10-14,0.8862057985542202,0.8228089928049643,1.0770492377983565,1.1196884880613913,-0.03808135094508269
2008-10-15,0.8431764067238359,0.7600540170921899,1.1093637922599964,1.1196884880613913,-0.009221043095004933
2008-10-16,0.8619936188780924,0.7839288219166237,1.09958148594487,1.1196884880613913,-0.017957675130994888
2008-10-17,0.8595375951157332,0.779949539894444,1.1020425696155425,1.1196884880613913,-0.015759667652206266
2008-10-20,0.8819605753212385,0.8161658271108683,1.0806144364598993,1.1196884880613913,-0.03489725224302709
2008-10-21,0.8657472968094635,0.7973207918016243,1.0858205451449758,1.1196884880613913,-0.030247647696239
2008-10-22,0.8448502047237864,0.7637328546870094,1.1062116806144477,1.1196884880613913,-0.012036211491534665
2008-10-23,0.8483495000452612,0.7706824586458298,1.1007769679043955,1.1196884880613913,-0.01688998356117677
2008-10-24,0.8300432412987817,0.7407762234732209,1.120504701685782,1.120504701685782,0.0
2008-10-27,0.8167955481416403,0.7213184194501117,1.1323647450515884,1.1323647450515884,0.0
2008-10-28,0.8624916579298341,0.7839463968611454,1.1001921322467674,1.1323647450515884,-0.02841188137074624
2008-10-29,0.8595088150698443,0.7794007377217518,1.1027816288476382,1.1323647450515884,-0.026125077041852296
2008-10-30,0.8747117196642306,0.800212106495783,1.093099832611493,1.1323647450515884,-0.03467514562925267
2008-10-31,0.8762220421006116,0.8033965028310922,1.0906470702982765,1.1323647450515884,-0.036841198858951874
2008-11-03,0.8767063281458147,0.8052371567851654,1.0887554315625267,1.1323647450515884,-0.03851171954940613
2008-11-04,0.8909450249352917,0.8281368052613929,1.0758428067377999,1.1323647450515884,-0.04991495766782594
2008-11-05,0.8709108898014511,0.8005905547264399,1.0878355791982077,1.1323647450515884,-0.03932404823443347
2008-11-06,0.84857650480695,0.7650924147451365,1.1091163478461923,1.1323647450515884,-0.020530838059901746
2008-11-07,0.8609313146048303,0.7847124696667342,1.0971296466978102,1.1323647450515884,-0.03111638587103216
2008-11-10,0.8553889614242061,0.7766136939210189,1.1014343014033932,1.1323647450515884,-0.027314912251869883
2008-11-11,0.8432706086583042,0.7579318068754962,1.112594300712368,1.1323647450515884,-0.017459431182061058
2008-11-12,0.824336130886289,0.7322311152974287,1.125786809198142,1.1323647450515884,-0.005809025653784938
2008-11-13,0.8498262347223949,0.7671509557423718,1.1077692445810985,1.1323647450515884,-0.021720475295589847
2008-11-14,0.8285326716169398,0.7377512070904212,1.1230515974139126,1.1323647450515884,-0.008224512179820231
2008-11-17,0.8222295878969996,0.7304979495915518,1.1255741215382444,1.1323647450515884,-0.005996851759134003
2008-11-18,0.8271036221116936,0.7417273519138508,1.1151046539911866,1.1323647450515884,-0.01524251892848838
2008-11-19,0.8017998590400915,0.7055534229973413,1.1364126838671902,1.1364126838671902,0.0
2008-11-20,0.7750793906926465,0.6671003131868681,1.1618633290545786,1.1618633290545786,0.0
2008-11-21,0.7944334741383839,0.6933351273016563,1.1458145460337275,1.1618633290545786,-0.013812969752569959
2008-11-24,0.8206534157860474,0.7291480214056965,1.1254963213147602,1.1618633290545786,-0.0313005900353277
2008-11-25,0.8224704996843237,0.7347578934887677,1.1193762012941162,1.1618633290545786,-0.03656809428268526
2008-11-26,0.839260801914762,0.7572696662672574,1.108272045348992,1.1618633290545786,-0.046125290613306835
2008-11-28,0.8407173480928761,0.7646177429837754,1.099526339543386,1.1618633290545786,-0.05365260091470203
2008-12-01,0.8056582624631223,0.7116644936475178,1.132075956654596,1.1618633290545786,-0.02563758718869369
2008-12-02,0.8207665335027343,0.7335915145008499,1.118833188877873,1.1618633290545786,-0.037035457700278385
2008-12-03,0.8310089726085902,0.7475137503960524,1.1116972392391442,1.1618633290545786,-0.04317727271438632
2008-12-04,0.8205094945192251,0.734247611095445,1.117483369533996,1.1618633290545786,-0.038197228891538315
2008-12-05,0.8347219055396107,0.7512838448980887,1.111060634683074,1.1618633290545786,-0.04372518961661631
2008-12-08,0.849840365255126,0.771854029777524,1.1010376735353449,1.1618633290545786,-0.05235181625770757
2008-12-09,0.844454652970528,0.762290260042137,1.1077862295182013,1.1618633290545786,-0.046543425705999675
2008-12-10,0.8463320496169361,0.7664117478458917,1.1042785447844081,1.1618633290545786,-0.04956244235458218
2008-12-11,0.8352135125674081,0.752060993389731,1.1105661906528186,1.1618633290545786,-0.044150750883497625
2008-12-12,0.8418054704403202,0.7594405451314198,1.1084547379474547,1.1618633290545786,-0.04596804957307932
2008-12-15,0.8354019991769257,0.7511732670453941,1.1121295656098495,1.1618633290545786,-0.04280517527409866
2008-12-16,0.8554098969226118,0.7804990315249568,1.0959781657272432,1.1618633290545786,-0.05670646596699713
2008-12-17,0.8506794694497901,0.7749438460696727,1.0977304662321408,1.1618633290545786,-0.05519828470240418
2008-12-18,0.8426294560235024,0.7638812783086906,1.1030895506290823,1.1618633290545786,-0.050585793488569064
2008-12-19,0.8426953283010997,0.7610649617500145,1.107258079998036,1.1618633290545786,-0.046997996830638766
2008-12-22,0.8367379637383894,0.7532280497158748,1.1108693629426247,1.1618633290545786,-0.043889814607926514
2008-12-23,0.8326396333468534,0.7469422200911435,1.1147309804568992,1.1618633290545786,-0.0405661728183051
2008-12-24,0.8351277384624579,0.7503712585523818,1.1129527269922204,1.1618633290545786,-0.04209669144318151
2008-12-26,0.8367739024823313,0.7542135948730992,1.1094654195713924,1.1618633290545786,-0.04509816961502944
2008-12-29,0.8334265934743971,0.7523978367063175,1.1076940320865214,1.1618633290545786,-0.046622778784261465
