week_id,recorded_utc,mode,account_id,rule_id,signal,target,pool_nav,capital_basis,strategy_cash,pool_qqq_shares,pool_shy_shares,account_net_liquidation,account_total_cash,buying_power,nav_return_since_start,weekly_nav_return,rebalance_executed,order_note
2026-08-17,2026-08-26T07:35:18Z,live,U17832073,BTC50_MOM20_QQQ_SHY_v1,0,SHY,76.0,76.0,76.0,0.0,0.0,2906.27,76.11,8794.93,0.0,,False,BUY SHY Cancelled Error10243 fractional_not_allowed_via_API
2026-08-17,2026-08-27T02:40:40Z,live_manual,U17832073,BTC50_MOM20_QQQ_SHY_v1,0,SHY,75.9747,76.0,0.0,0.0,0.9259,,,,-0.0003328947368421,,True,USER_FILL BUY 0.9259 SHY @ 82.055 cost_basis=82.8755 fee=0.75975 order=593594282 fill=2026-08-26T13:30:02Z LIMIT 82.06 DAY
2026-08-31,2026-09-04T07:14:51Z,live_manual,U17832073,BTC50_MOM20_QQQ_SHY_v1,1,QQQ,74.9045,76.0,74.9045,0.0,0.0,,,,-0.0144144736842105,-0.0140862681919112,True,USER_FILL SELL 0.9259 SHY @ 81.72 cost_basis=0.0000 fee=0.76 fill=2026-09-03T21:30:00Z IBKR app Sold SHY
2026-08-31,2026-09-04T07:14:52Z,live_manual,U17832073,BTC50_MOM20_QQQ_SHY_v1,1,QQQ,74.16450999999998,76.0,0.29599999999999227,0.103,0.0,,,,-0.024151184210526644,-0.009879112736885243,True,USER_FILL BUY 0.103 QQQ @ 717.17 cost_basis=724.3544 fee=0.74 fill=2026-09-04T00:05:00Z IBKR app Bought QQQ
