window,type,start,end,strategy,crisis_return,max_drawdown,downside_capture,recovery_days_from_trough
HIVOL_2022-04-29_2022-07-13,high_vol,2022-04-29,2022-07-13,EW,-0.11237104824686373,-0.14502842256063408,0.9251905222038526,
HIVOL_2022-04-29_2022-07-13,high_vol,2022-04-29,2022-07-13,LOW_MAX,-0.04541504461457946,-0.11419815704752956,0.5502065677824131,
HIVOL_2022-04-29_2022-07-13,high_vol,2022-04-29,2022-07-13,EXCLUDE_20,-0.09685816698467087,-0.13298350000582804,0.8124475139460107,
HIVOL_2022-10-13_2022-12-09,high_vol,2022-10-13,2022-12-09,SPY,0.1029841948680652,-0.046295730811514835,1.0,0.0
HIVOL_2022-10-13_2022-12-09,high_vol,2022-10-13,2022-12-09,EW,0.13346585802341893,-0.03253658762416611,0.8244573063851085,0.0
HIVOL_2022-10-13_2022-12-09,high_vol,2022-10-13,2022-12-09,LOW_MAX,0.1362030119923685,-0.027711837733806144,0.33096397639217595,0.0
HIVOL_2022-10-13_2022-12-09,high_vol,2022-10-13,2022-12-09,EXCLUDE_20,0.13392241686122475,-0.03246467378126028,0.7601771333852515,0.0
HIVOL_2025-04-03_2025-05-09,high_vol,2025-04-03,2025-05-09,SPY,-0.000319051869939746,-0.07493928529459215,1.0,24.0
HIVOL_2025-04-03_2025-05-09,high_vol,2025-04-03,2025-05-09,EW,-0.008661003261708933,-0.08048153654116408,0.9227177400898033,
HIVOL_2025-04-03_2025-05-09,high_vol,2025-04-03,2025-05-09,LOW_MAX,-0.05212602990247328,-0.0919736752449194,0.8151658579980168,
HIVOL_2025-04-03_2025-05-09,high_vol,2025-04-03,2025-05-09,EXCLUDE_20,-0.021013117703812423,-0.08119199782196818,0.8725484832512698,
