label,start,end,n_days,gross_cagr,net_cagr,volatility,gross_sharpe,net_sharpe,sortino,max_drawdown,calmar,beta_spy,downside_beta,worst_month,annualized_turnover,cost_drag_cagr,excess_cagr,tracking_error,information_ratio,upside_capture,downside_capture,delta_cagr,delta_sharpe,delta_max_dd,delta_vol,delta_turnover
EW_baseline,2015-03-02,2026-08-07,2877,0.11805732987155793,0.11796043402751955,0.17974710312914643,0.7112678641803863,0.7107887125689378,0.8617204874491017,-0.3927559191384129,0.3003403087757121,0.9612850651297847,1.0011162631716588,-0.1772421699225234,0.0868599433769268,9.689584403838047e-05,-0.020108476130431097,0.05954848254783656,-0.3113625116159451,0.9255524794465876,0.9357526693471178,,,,,
EXCLUDE_HIGH_MAX_10,2015-03-02,2026-08-07,2877,0.10726373177729198,0.10628828230459009,0.17311473381561754,0.6757007458058908,0.6706119366022624,0.8055409241947039,-0.3914562522632097,0.27152020612797195,0.9176471197400563,0.9689001778566989,-0.17614487234303366,0.881469001277646,0.0009754494727018947,-0.03166281158345685,0.06266350671043823,-0.48210787741736694,0.8695178465882047,0.8838497756312855,-0.011672151722929458,-0.04017677596667546,0.0012996668752032203,-0.006632369313528896,0.7946090579007192
EXCLUDE_HIGH_MAX_20,2015-03-02,2026-08-07,2877,0.10299848954410629,0.10118609790239153,0.16834202798574172,0.6670620355732925,0.6572910593537555,0.7897999737897062,-0.38681602728995934,0.26158713901102626,0.8847618685520047,0.9398763503846707,-0.16961948746346456,1.6443137708677058,0.0018123916417147612,-0.03712290669646012,0.06593611690416644,-0.5407304657246824,0.8311852977537811,0.8452100151254438,-0.01677433612512802,-0.053497653215182295,0.00593989184845356,-0.01140507514340472,1.557453827490779
EXCLUDE_HIGH_MAX_30,2015-03-02,2026-08-07,2877,0.10029689691421195,0.09763761234896395,0.16458163153157424,0.663576537406597,0.6488625158553474,0.7786377448985066,-0.38059127352912314,0.2565419102850046,0.857221792409814,0.9156865370139322,-0.16132447735657374,2.4190556094515685,0.002659284565247999,-0.041055078466987416,0.06937493988395627,-0.5695504122542302,0.7992283964098053,0.812150866063812,-0.02032282167855559,-0.06192619671359045,0.01216464560928976,-0.0151654715975722,2.3321956660746417
