label,start,end,n_days,gross_cagr,net_cagr,volatility,gross_sharpe,net_sharpe,sortino,max_drawdown,calmar,beta_spy,downside_beta,worst_month,annualized_turnover,cost_drag_cagr,excess_cagr,tracking_error,information_ratio,upside_capture,downside_capture,regime
EW_baseline,2015-01-02,2018-12-31,1006,0.0595762313083934,0.05939140932507159,0.1308349123697597,0.5078689410109916,0.5065502345584575,0.6193017324390899,-0.18632889308150435,0.3187450338101482,0.9234561183030344,0.9353019179849495,-0.09037456262859622,0.18242945592299137,0.00018482198332181454,-0.012743162797011376,0.03706707381688965,-0.32745426224778507,0.9281112467789406,0.9391116026638527,P1_2015_2018
LOW_MAX,2015-01-02,2018-12-31,1006,0.08157744772686648,0.07112580783082101,0.11746575416120078,0.7268912954003729,0.643828444684932,0.8183339123995838,-0.16957613985682563,0.41943287475981617,0.7353112101240291,0.7670636973130575,-0.07516946327025731,10.10698928571429,0.010451639896045473,-0.005286707905332033,0.07108973832393088,-0.03903694563485654,0.7457858601473698,0.7197414478493253,P1_2015_2018
EXCLUDE_HIGH_MAX_20,2015-01-02,2018-12-31,1006,0.06351968130204022,0.06162852150409193,0.12361184071811117,0.5601333138259134,0.5457620013555694,0.669447825938608,-0.17370237321720516,0.35479377951289637,0.8668889869670992,0.8794818679975387,-0.09098748479723828,1.855109045792238,0.0018911597979482941,-0.011699303536371608,0.040492614039475974,-0.2703801485588463,0.8732206686322888,0.8760057432630755,P1_2015_2018
EW_baseline,2019-01-02,2022-12-30,1008,0.13902640541033318,0.1389842038844067,0.23945152596729022,0.6643515562910955,0.6641964966666071,0.7809232993772441,-0.392755919138413,0.35386915158222376,1.019875285396296,1.0624160212231843,-0.1772421699225234,0.03786144652779274,4.2201525926488515e-05,0.008266220374087752,0.06761741930700406,0.15548995023100035,0.9855154545751609,0.974936926426721,P2_2019_2022
LOW_MAX,2019-01-02,2022-12-30,1008,0.15010251489250326,0.13920340221365013,0.19225910632496532,0.8238502534393889,0.7743675798078534,0.913652294033617,-0.33119619089846064,0.4203049613463931,0.717483735533719,0.797885804100739,-0.09760470224953255,9.743407977606719,0.010899112678853129,-0.007057118789559058,0.12202450033391812,0.0028697790507106243,0.6325556950584731,0.5818231226336793,P2_2019_2022
EXCLUDE_HIGH_MAX_20,2019-01-02,2022-12-30,1008,0.12874663235657158,0.1270467073171,0.2239211872592374,0.6537816218748476,0.6470580120939574,0.7416499336566077,-0.3868160272899597,0.3284422008239721,0.9544938875792451,1.0140497550623147,-0.16961948746346456,1.5426583910613414,0.0016999250394715837,-0.005626849090831665,0.06333788195328642,-0.05745435591223943,0.8982726381257878,0.8885576378132924,P2_2019_2022
EW_baseline,2023-01-03,2026-08-07,902,0.1571045167053724,0.15705768843085943,0.14118447195949657,1.104226064155727,1.1039367676587317,1.585068810907476,-0.178361478781645,0.8805583442326903,0.8159894619620884,0.835392425309613,-0.06436738851418267,0.04042388255973616,4.682827451296667e-05,-0.06532354152251063,0.07412935970424893,-0.8741750262131777,0.7939869096444976,0.8215187253479237,P3_2023_2026
LOW_MAX,2023-01-03,2026-08-07,902,0.04407345692310649,0.03330112448595268,0.12926773467567784,0.39868652664915916,0.3180512878013193,0.4585707648379255,-0.187539288714346,0.17756878952802213,0.4816919769839117,0.5934695240476029,-0.06842605298171445,10.343165137614681,0.010772332437153809,-0.1717096213842324,0.13246380708753536,-1.3554419055598468,0.38872420350773307,0.45252105725203406,P3_2023_2026
EXCLUDE_HIGH_MAX_20,2023-01-03,2026-08-07,902,0.11478046792779417,0.11302497461658989,0.13177171667822468,0.8906077916133149,0.8785491760714756,1.2758674286498146,-0.16399076834021709,0.6892154708495969,0.6968544166758652,0.7312002754426922,-0.06364629135183042,1.5737504182907336,0.0017554933112042814,-0.10335544155689058,0.0914838704256862,-1.146571859891163,0.6571694691533694,0.6987768761168505,P3_2023_2026
