date,net_return,nav,cash,equity_net
2005-03-01,0.0,100169.93066214764,39966.32016894537,1.0
2005-03-02,-0.000297537349933541,100140.1263664354,39966.32016894537,0.9997024626500665
2005-03-03,0.0002479468257032824,100164.9557928935,39966.32016894537,0.9999503357023284
2005-03-04,0.007486564007547214,100914.84714575013,39966.32016894537,1.0074365278949322
2005-03-07,0.00029539667880373877,100944.65705643897,39966.32016894537,1.007734121299378
2005-03-08,-0.00226340867239172,100716.17804422582,39966.32016894537,1.005453207149764
2005-03-09,-0.0067053348019894266,100040.84235046251,39966.32016894537,0.9987113067680907
2005-03-10,0.001339916106863237,100174.88868647206,39966.32016894537,1.0000494961341357
2005-03-11,-0.0042140256920573105,99752.74913184828,39966.32016894537,0.9958352618640974
2005-03-14,0.003734152039944316,100125.24106350902,39966.32016894537,0.9995538621386357
2005-03-15,-0.004959673743476722,99628.65253434706,39966.32016894537,0.994596401093396
2005-03-16,-0.005084432035507236,99122.097421747,39966.32016894537,0.9895394432892765
2005-03-17,0.0012023907492837438,99241.28091473652,39966.32016894537,0.990729256361939
2005-03-18,-0.001773526645420409,99065.27385870858,39966.32016894537,0.9889721716273835
2005-03-21,-0.002214130509773482,98845.93041339895,39966.32016894537,0.9867824581688663
2005-03-22,-0.0060526656746270335,98247.6490433092,39966.32016894537,0.9808097938559835
2005-03-23,0.0005074460059057984,98297.50442040586,39966.32016894537,0.9813075018684292
2005-03-24,0.00070985844891025,98367.28173442549,39966.32016894537,0.9820040912896095
2005-03-28,0.0008616490163546597,98452.03980597344,39966.32016894537,0.9828502341489255
2005-03-29,-0.003949679196035727,98063.1858325445,39966.32016894537,0.9789682910262887
2005-03-30,0.008388752135191524,98885.81359208096,39966.32016894537,0.9871806133679203
2005-03-31,-0.0011093015122841665,98776.11940951982,39966.32016894537,0.9860855324206137
2005-04-01,-0.002719677610116711,98507.48020914753,39642.90618530204,0.9834036976764293
2005-04-04,0.0010176729246185179,98607.72860462876,39642.90618530204,0.9844044809935243
2005-04-05,0.002846667448062279,98888.43201577492,39642.90618530204,0.9872067531852952
2005-04-06,0.0020784866463634533,99093.97030119953,39642.90618530204,0.9892586492389907
2005-04-07,0.003237199607263541,99414.75726294077,39642.90618530204,0.9924610769497892
2005-04-08,-0.006252364637424845,98793.17995019178,39642.90618530204,0.9862558484082479
2005-04-11,0.0004565341736946227,98838.282412967,39642.90618530204,0.9867061079070524
2005-04-12,0.0030939223606618604,99144.08038501389,39642.90618530204,0.9897588999977076
2005-04-13,-0.007078538843149906,98442.2851609402,39642.90618530204,0.9827528531787205
2005-04-14,-0.007790694977489299,97675.35134436429,39642.90618530204,0.9750965254613477
2005-04-15,-0.008314087768695355,96863.26990044909,39642.90618530204,0.9669894873657122
2005-04-18,0.0018115223354338017,97038.7398773569,39642.90618530204,0.9687412104202049
2005-04-19,0.0047005918997653495,97494.87939198784,39642.90618530204,0.9732948675068749
2005-04-20,-0.008277593836459651,96687.85637924634,39642.90618530204,0.9652383279105422
2005-04-21,0.011457393130343663,97795.64716071356,39642.90618530204,0.9762974428978888
2005-04-22,-0.002255384575042041,97575.08036660103,39642.90618530204,0.9740955167045239
2005-04-25,0.003904423009215563,97956.05475551044,39642.90618530204,0.9778987976531186
2005-04-26,-0.005782274502322826,97389.64595774951,39642.90618530204,0.9722443183695968
2005-04-27,0.002315915465972429,97615.19214504864,39642.90618530204,0.9744959540232128
2005-04-28,-0.007446077296050513,96888.34187906778,39642.90618530204,0.9672397818248674
2005-04-29,0.008019189721870656,97665.30787443349,39642.90618530204,0.9749962611418618
2005-05-02,0.003338464382770301,97991.36002620458,39129.03877168727,0.978251251433018
2005-05-03,0.00103216252455951,98092.50303575426,39129.03877168727,0.9792609657143507
2005-05-04,0.004639738973963636,98547.62664514288,39129.03877168727,0.9838044809826568
2005-05-05,-0.0002053366171337334,98527.39120886101,39129.03877168727,0.9836024698986108
2005-05-06,-0.0018991613031109633,98340.27180018066,39129.03877168727,0.981734450150135
2005-05-09,0.0037541799577065493,98709.45887760833,39129.03877168727,0.9854200579466788
2005-05-10,-0.0062502200788988604,98092.50303575426,39129.03877168727,0.9792609657143507
2005-05-11,0.0032992938131379823,98416.13902413534,39129.03877168727,0.9824918353599796
2005-05-12,-0.006628566158188409,97763.78113558039,39129.03877168727,0.975979323229416
2005-05-13,-0.0011894092277139334,97647.49999216152,39129.03877168727,0.974818484416309
2005-05-16,0.005592920070317309,98193.63465468399,39129.03877168727,0.9802705662827172
2005-05-17,0.004017019824960499,98588.08043177679,39129.03877168727,0.9842083325813002
2005-05-18,0.006206212117749965,99199.93897121819,39129.03877168727,0.9903165382613567
2005-05-19,0.002548997248904561,99452.79934274733,39129.03877168727,0.9928408523929296
2005-05-20,-0.0008641509121803947,99366.85711547639,39129.03877168727,0.9919828880646843
2005-05-23,0.003358545166014304,99700.58519310362,39129.03877168727,0.995314507398163
2005-05-24,-0.0014201060634640994,99558.99978753997,39129.03877168727,0.993901055231153
2005-05-25,-0.00045712815490295267,99513.48856566311,39129.03877168727,0.9934467150756191
2005-05-26,0.0032521821216984215,99837.12455404419,39129.03877168727,0.9966775847212479
2005-05-27,0.001013080154316004,99938.26756359386,39129.03877168727,0.9976872990025807
2005-05-31,-0.0038963456807171726,99548.8735264341,39129.03877168727,0.9937999644044055
2005-06-01,0.005110350653659168,100057.60317733094,39826.291815283475,0.998878630702106
2005-06-02,0.0012988735985486333,100187.56535643202,39826.291815283475,1.0001760477836794
2005-06-03,-0.0030434431917790716,99882.65019274707,39826.291815283475,0.9971320688004716
2005-06-06,-0.0005504209508891966,99827.67268945064,39826.291815283475,0.9965832264190003
2005-06-07,0.00045057192370290267,99872.65223597312,39826.291815283475,0.997032258840458
2005-06-08,-0.0011010084703989564,99762.6915999001,39826.291815283475,0.9959345178782136
2005-06-09,0.002856139244120204,100047.62773847765,39826.291815283475,0.9987790455392996
2005-06-10,-0.001399160149620049,99907.64508468195,39826.291815283475,0.9973815937005055
2005-06-13,0.0019010297126227371,100097.57248650609,39826.291815283475,0.9992776457449531
2005-06-14,0.001398293304006648,100237.53825186129,39826.291815283475,1.0006749289858419
2005-06-15,0.0011470403693631948,100352.51475476177,39826.291815283475,1.0018227435259983
2005-06-16,0.001544351821529899,100507.4943437184,39826.291815283475,1.0033699103048128
2005-06-17,0.002236725354637148,100732.30200464805,39826.291815283475,1.0056141732232717
2005-06-20,0.00019934375915942049,100752.38236039845,39826.291815283475,1.0058146361328262
2005-06-21,0.0003486563335759474,100787.51031663126,39826.291815283475,1.0061653197761171
2005-06-22,0.0004977792097200506,100837.68024386633,39826.291815283475,1.0066661679538431
2005-06-23,-0.008510346368895694,99979.51665795507,39826.291815283475,0.9980990901867068
2005-06-24,-0.004417288292918098,99537.87830949028,39826.291815283475,0.993690198760453
2005-06-27,0.0008570520476935961,99623.1874519185,39826.291815283475,0.9945418429800735
2005-06-28,0.005037607610353767,100125.04997919398,39826.291815283475,0.9995519545370852
2005-06-29,-0.001603916110054615,99964.45779851233,39826.291815283475,0.9979487570543667
2005-06-30,-0.0032633873408182135,99638.23505240091,39826.291815283475,0.9946920637138101
2005-07-01,0.0017518748057143707,99812.78876607506,39908.45287606473,0.9964346396796744
2005-07-05,0.00482038409880392,100293.92474590031,39908.45287606473,1.0012378373722837
2005-07-06,-0.005047138916607019,99787.72737521603,39908.45287606473,0.9961844509185026
2005-07-07,0.0023606580949784295,100023.29208162383,39908.45287606473,0.998536101806655
2005-07-08,0.0068641429335623005,100709.86625515755,39908.45287606473,1.0053901963337781
2005-07-11,0.003085641081723045,101020.6207558093,39908.45287606473,1.0084924696267472
2005-07-12,0.0015874349972346824,101180.98442463944,39908.45287606473,1.01009338586748
2005-07-13,0.0008421306144810181,101266.19202922676,39908.45287606473,1.010944016431204
2005-07-14,0.0023753781832318577,101506.73753247195,39908.45287606473,1.0133453907923036
2005-07-15,-0.00034586186483898107,101471.63022293524,39908.45287606473,1.012994913265718
2005-07-18,-0.0024200424415286026,101226.06457118464,39908.45287606473,1.0105434225825625
2005-07-19,0.003317151199466961,101561.84673269426,39908.45287606473,1.0138955479088956
2005-07-20,0.002072606009576816,101772.34442657616,39908.45287606473,1.0159969539145748
2005-07-21,-0.0035453191735664857,101411.52898254181,39908.45287606473,1.0123949204335763
2005-07-22,0.0040521290646975405,101822.46158662738,39908.45287606473,1.0164972753156172
2005-07-25,-0.0017225117288681702,101647.07120228218,39908.45287606473,1.0147463468365234
2005-07-26,0.0007392718749321681,101722.21602319126,39908.45287606473,1.0154965202709298
2005-07-27,0.002217227300141955,101947.7572975888,39908.45287606473,1.0177481068788736
2005-07-28,0.003834342367381227,102338.65990265446,39908.45287606473,1.0216505015644015
2005-07-29,-0.0040644183861676675,101922.71277173035,39908.45287606473,1.0174980864816057
2005-08-01,-0.0004442186413452509,101877.43680274067,40785.68421806779,1.0170460948640576
