asof,portfolio_id,event,symbol,target_weight,lookthrough_targets,side,shares,price,notional,commission,spread_bps_cost,theoretical_weight,theoretical_shares,nav,cash,theoretical_weights,final_weights,need
2006-06-01,candidate_80_20_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.8, 'GLD': 0.1, 'BIL': 0.1}",,"{'SPY': 975.3087942480458, 'GLD': 172.25948914053308}",,,,,,,107049.15790635563,10695.810289974363,"{'SPY': 0.8, 'GLD': 0.1, 'BIL': 0.1}","{'GLD': 0.10000945100657938, 'SPY': 0.800075608052635, 'BIL': 0.0}",
2006-07-03,candidate_80_20_dc,PRICE_MISSING,BIL,0.1,"{'SPY': 0.8, 'GLD': 0.1, 'BIL': 0.1}",,,,,,,,,,,,,
2006-07-03,candidate_80_20_dc,FILL,SPY,,"{'SPY': 0.8, 'GLD': 0.1, 'BIL': 0.1}",SELL,-1.3230201067863163,88.2384523325701,116.74124662769619,1.0,0.05837062331384809,0.8,973.9857741412595,,,,,
2006-07-03,candidate_80_20_dc,FILL,GLD,,"{'SPY': 0.8, 'GLD': 0.1, 'BIL': 0.1}",BUY,1.1245460718368463,61.959999084472656,69.67687358145832,1.0,0.03483843679072916,0.1,173.38403521236992,,,,,
2006-07-03,candidate_80_20_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.8, 'GLD': 0.1, 'BIL': 0.1}",,"{'SPY': 973.9857741412595, 'GLD': 173.38403521236992}",,,,,,,107426.65342114604,10740.781453960497,"{'SPY': 0.8, 'GLD': 0.1, 'BIL': 0.1}","{'GLD': 0.10000194850066856, 'SPY': 0.8000155880053484, 'BIL': 0.0}",
2006-08-01,candidate_80_20_dc,PRICE_MISSING,BIL,0.2,"{'SPY': 0.8, 'BIL': 0.2}",,,,,,,,,,,,,
2006-08-01,candidate_80_20_dc,FILL,GLD,,"{'SPY': 0.8, 'BIL': 0.2}",SELL,-173.38403521236992,62.91999816894531,10909.323178086664,1.0,5.454661589043332,0.0,0.0,,,,,
2006-08-01,candidate_80_20_dc,FILL,SPY,,"{'SPY': 0.8, 'BIL': 0.2}",BUY,1.628885595702286,88.1761077515746,143.62879180163256,1.0,0.07181439590081629,0.8,975.6146597369618,,,,,
2006-08-01,candidate_80_20_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.8, 'BIL': 0.2}",,{'SPY': 975.6146597369618},,,,,,,107524.85272524272,21498.949364260585,"{'SPY': 0.8, 'BIL': 0.2}","{'SPY': 0.8000559980379918, 'BIL': 0.0}",
2006-09-01,candidate_80_20_dc,PRICE_MISSING,BIL,0.1,"{'SPY': 0.9, 'BIL': 0.1}",,,,,,,,,,,,,
2006-09-01,candidate_80_20_dc,FILL,SPY,,"{'SPY': 0.9, 'BIL': 0.1}",BUY,115.51639794131393,90.80743570600198,10489.747879044804,1.0,5.244873939522402,0.9,1091.1310576782757,,,,,
2006-09-01,candidate_80_20_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.9, 'BIL': 0.1}",,{'SPY': 1091.1310576782757},,,,,,,110085.76997821822,11002.956611276259,"{'SPY': 0.9, 'BIL': 0.1}","{'SPY': 0.9000510546144763, 'BIL': 0.0}",
2006-10-02,candidate_80_20_dc,FILL,SPY,,"{'SPY': 0.9, 'IEF': 0.1}",SELL,-2.4906868418706836,92.87597345756572,231.3249650166898,1.0,0.11566248250834489,0.9,1088.640370836405,,,,,
2006-10-02,candidate_80_20_dc,PARTIAL_FILL,IEF,,"{'SPY': 0.9, 'IEF': 0.1}",BUY,225.84935380344777,49.703148430670986,11225.42395506389,1.129246769017239,5.612711977531945,0.1,226.0275642691571,,,,,
2006-10-02,candidate_80_20_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.9, 'IEF': 0.1}",,"{'SPY': 1088.640370836405, 'IEF': 225.84935380344777}",,,,,,,112334.95814170035,1.000000000001819,"{'SPY': 0.9, 'IEF': 0.1}","{'IEF': 0.09992814472680923, 'SPY': 0.9000629533247987}",
2006-11-01,candidate_80_20_dc,FILL,SPY,,"{'SPY': 0.8, 'IWM': 0.1, 'IEF': 0.1}",SELL,-123.68321402581535,96.13088213603434,11889.776469721564,1.0,5.944888234860782,0.8,964.9571568105897,,,,,
2006-11-01,candidate_80_20_dc,FILL,IWM,,"{'SPY': 0.8, 'IWM': 0.1, 'IEF': 0.1}",BUY,197.50026976989395,58.71016202646085,11595.272838460201,1.0,5.797636419230101,0.1,197.50026976989395,,,,,
2006-11-01,candidate_80_20_dc,PARTIAL_FILL,IEF,,"{'SPY': 0.8, 'IWM': 0.1, 'IEF': 0.1}",BUY,5.608229196179704,50.03232914729879,280.5927690767539,1.0,0.14029638453837695,0.1,231.7556075457307,,,,,
2006-11-01,candidate_80_20_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.8, 'IWM': 0.1, 'IEF': 0.1}",,"{'SPY': 964.9571568105897, 'IEF': 231.45758299962748, 'IWM': 197.50026976989395}",,,,,,,115937.84556356337,0.028041145980921556,"{'SPY': 0.8, 'IWM': 0.1, 'IEF': 0.1}","{'IEF': 0.09988422606944694, 'SPY': 0.8001026951706153, 'IWM': 0.10001283689632691}",
