date,net_return,nav,cash,equity_net
2005-01-03,0.0,99414.32492262701,1.0,1.0
2005-01-04,-0.009805849200417383,98439.48304407444,1.0,0.9901941507995826
2005-01-05,-0.003442287500481589,98100.62604203795,1.0,0.9867856178512353
2005-01-06,0.0034022031474365555,98434.38430072367,1.0,0.9901428629861339
2005-01-07,-0.0011870681975247876,98317.53597357735,1.0,0.9889674958824769
2005-01-10,0.0027638911240857045,98589.2749385967,1.0,0.9917008943663558
2005-01-11,-0.003294306511688161,98264.49164818387,1.0,0.9884339276523978
2005-01-12,0.0025811432427709224,98518.1263768059,1.0,0.9909852172056832
2005-01-13,-0.003136463618536811,98209.12785765863,1.0,0.9878770281254098
2005-01-14,0.0028769130763433015,98491.66698180861,1.0,0.990719064465443
2005-01-18,0.006020525935678478,99084.6386173208,1.0,0.9966837142880284
2005-01-19,-0.0059892171034250374,98491.19920502725,1.0,0.9907143591397093
2005-01-20,-0.002891808808318741,98206.38148762428,1.0,0.9878494026294213
2005-01-21,-0.002804465471064832,97930.96508170402,1.0,0.985079013089135
2005-01-24,-0.00120743017010716,97812.72027987667,1.0,0.9838895989687919
2005-01-25,0.0001262113931905784,97825.06535957495,1.0,0.9840137770458235
2005-01-26,0.0018625458051553245,98007.26902469946,1.0,0.9858465477784751
2005-01-27,0.00038332420306042003,98044.83758299248,1.0,0.9862244466207422
2005-01-28,0.0021108330725421176,98251.79386875468,1.0,0.9883062017996188
2005-01-31,0.003809903509620627,98626.12372304178,1.0,0.992071553066435
2005-02-01,0.0034953051316044537,98970.85211940117,0.05205267597830243,0.9955391458567868
2005-02-02,0.0018671016131059925,99155.64075704377,0.05205267597830243,0.9973979186019262
2005-02-03,-0.002217331669648437,98935.7798145689,0.05205267597830243,0.9951863566097687
2005-02-04,0.008481072400632783,99774.86132618932,0.05205267597830243,1.003626604152298
2005-02-07,-1.5554679737794785e-05,99773.30936017551,0.05205267597830243,1.0036109930618942
2005-02-08,0.0010728092594194383,99880.34709030003,0.05205267597830243,1.004687676228106
2005-02-09,-0.0025677609766718845,99623.87823270512,0.05205267597830243,1.0021078784193445
2005-02-10,-0.00034379847823873266,99589.62769497247,0.05205267597830243,1.0017633552557128
2005-02-11,0.004667204102637212,100054.43281393056,0.05205267597830243,1.006438789297234
2005-02-14,5.782577801927147e-05,100060.21853935231,0.05205267597830243,1.0064969874032539
2005-02-15,0.001650743995979198,100225.39234434252,0.05205267597830243,1.008158456262181
2005-02-16,-0.0010292854460275391,100122.23180668008,0.05205267597830243,1.0071207734358607
2005-02-17,-0.005776630855571785,99543.8626330969,0.05205267597830243,1.0013030085007437
2005-02-18,-0.0011914416472696976,99425.26192942573,0.05205267597830243,1.0001100143948796
2005-02-22,-0.008966009471491065,98533.81408926102,0.05205267597830243,0.991143018533282
2005-02-23,0.004646533883804205,98991.65479512724,0.05205267597830243,0.9957483981525929
2005-02-24,0.00334184242933655,99322.46930727182,0.05205267597830243,0.999076032398483
2005-02-25,0.006556213390255472,99973.64861049739,0.05205267597830243,1.0056261880599773
2005-02-28,-0.006548078835234117,99319.01327794985,0.05205267597830243,0.9990412685017844
2005-03-01,0.0029761970142627714,99614.6062287272,0.08950678592520944,1.0020146121422246
2005-03-02,-0.00034438800815628223,99580.30015290482,0.08950678592520944,1.0016695303258054
2005-03-03,9.84160760086894e-06,99581.28018314371,0.08950678592520944,1.0016793883642687
2005-03-04,0.00929059001496868,100506.44903049103,0.08950678592520944,1.010985580888006
2005-03-07,0.00038935655097915856,100545.5818748367,0.08950678592520944,1.01137921474687
2005-03-08,-0.004141744316971119,100129.14778251004,0.08950678592520944,1.0071903406318896
2005-03-09,-0.009729240309354736,99154.96724176311,0.08950678592520944,0.997391143770621
2005-03-10,0.0020595344527281068,99359.18031295665,0.08950678592520944,0.9994453051940626
2005-03-11,-0.005890309030212926,98773.92403592469,0.08950678592520944,0.9935582634876741
2005-03-14,0.004706994139629828,99238.85231751003,0.08950678592520944,0.9982349364112912
2005-03-15,-0.005736691398819049,98669.5496469915,0.08950678592520944,0.99250837063758
2005-03-16,-0.004190987016779002,98256.02684546952,0.08950678592520944,0.9883487809421934
2005-03-17,0.0027471530461715687,98525.95118892277,0.08950678592520944,0.9910639263064387
2005-03-18,-0.0027845906741144066,98251.59674408384,0.08950678592520944,0.9883042189397946
2005-03-21,-0.0027008558929733084,97986.23334002355,0.08950678592520944,0.9856349516660207
2005-03-22,-0.009015204310012126,97102.86742689472,0.08950678592520944,0.9767492512016627
2005-03-23,0.0014368011401666436,97242.38493752714,0.08950678592520944,0.9781526456394461
2005-03-24,0.0010534804967459177,97344.82789351587,0.08950678592520944,0.9791831103744676
2005-03-28,-0.0004475241887064163,97301.26372838806,0.08950678592520944,0.9787449022474023
2005-03-29,-0.002317751444617655,97075.74358381846,0.08950678592520944,0.9764764148363061
2005-03-30,0.009349364917197844,97983.3401351919,0.08950678592520944,0.9856058491716477
2005-03-31,0.0008677127129577134,98068.36152508526,0.08950678592520944,0.9864610718969394
2005-04-01,-0.0019133936396956708,97880.71814588779,0.020746715898951607,0.9845735835561644
2005-04-04,0.0008257505341671134,97961.54320118143,0.020746715898951607,0.9853865957187129
2005-04-05,0.002897017456740425,98245.33950192448,0.020746715898951607,0.988241277888148
2005-04-06,0.0032781753640065414,98567.40495350814,0.020746715898951607,0.9914809060990152
