name,cagr,volatility,sharpe,sortino,max_drawdown,max_dd_duration_days,calmar,worst_year,worst_rolling_12m,month_win_rate,year_win_rate,annualized_turnover,one_way_turnover,avg_trades_per_year,cost_total,cost_drag_cagr,turnover_status,corr_spy,beta_spy,up_capture,down_capture,rel_spy_max_dd,rel_spy_underwater_days,abs_underwater_days,rel_8020_max_dd,rel_8020_underwater_days,avg_bil,note,ann_outer_turnover_meta,n_rebalances,construction
full_protect,0.10088270186582426,0.13356585281035124,0.7880219892470814,0.9211307713010075,-0.20497375890273684,698.0,0.49217374168219574,-0.1704227687355726,-0.1838947883793921,0.6376146788990825,0.7368421052631579,1.7395486846084063,31.5,12.038781372845479,0.0315,0.0019133999211968789,measured,0.6761721841516422,0.45679964904296083,0.6845903347222733,0.6718674575654138,-0.7065219590715821,4382.0,698.0,-0.6055037857390622,4382.0,0.19493087557603686,,,,
half_protect,0.12327114583784216,0.1554102561872111,0.827420874584926,1.046558662609357,-0.2550816732770601,496.0,0.48326147564489935,-0.19377990767402775,-0.2096122350210965,0.6559633027522935,0.7894736842105263,0.8835802842455396,15.999999999999998,12.038781372845479,0.016,0.0009897284178777,measured,0.934894339563538,0.7348336520616363,0.8605939258777847,0.8491909392397692,-0.3752764132527612,4382.0,496.0,-0.17787826221562075,4382.0,0.09746543778801843,,,,
joint_half_protect,0.11996627525101711,0.16553753664702042,0.7689153588080283,0.9437287805656362,-0.3232540541185597,517.0,0.37112071363849675,-0.22997066998746407,-0.24769061306588325,0.6605504587155964,0.7894736842105263,0.8835802842455397,16.0,12.038781372845479,0.016,0.00099032329060611,measured,0.9375016207162676,0.7849075772035168,0.885562886187524,0.8792392639638138,-0.3861754469275398,4382.0,517.0,-0.19738378189011951,4382.0,0.08294930875576037,,,,
spy_bh,0.12468804526566335,0.1977097830282357,0.694463154125804,0.8427404552243096,-0.4716519450197112,588.0,0.26436453105361923,-0.2850515736871314,-0.28973479519100676,0.6743119266055045,0.8421052631578947,0.0,0.0,0.0,0.0,0.0,buy_and_hold,1.0,1.0,1.0,1.0,0.0,0.0,588.0,-0.10803431348146098,436.0,,,,,
vti_bh,0.12344100739336872,0.1995780945699646,0.6843637870145864,0.8333408354386116,-0.4801871324572494,563.0,0.2570685448435221,-0.2931003847962935,-0.28792224210567463,0.6697247706422018,0.8421052631578947,0.0,0.0,0.0,0.0,0.0,buy_and_hold,0.9939980929506872,1.0033839317893511,1.0165323211266672,1.020046880649927,-0.07002226191886873,1727.0,563.0,-0.1293247935569466,529.0,,,,,
dc,0.09306943711321858,0.13030666213498537,0.7496026860975517,0.8965637426504853,-0.17965586261447208,635.0,0.5180428612727132,-0.04945247928430119,-0.10914648015550499,0.6330275229357798,0.7894736842105263,3.589544904747505,65.0,12.038781372845479,0.065,0.003929335855850091,measured,0.4760385730594558,0.31374918056238127,0.5026242880762116,0.47227329419413466,-0.7973560404742084,4382.0,635.0,-0.7114829299649161,4382.0,,internal D+C costs already in net_return,,,
frozen_80_20_spy_dc,0.11999950001904325,0.17076791097364366,0.7504990767119558,0.9287659575020992,-0.38945638801288285,494.0,0.30812050774494876,-0.22344038173302716,-0.22803256501659852,0.6651376146788991,0.8421052631578947,0.05396631229132922,0.9772298138120507,12.038781372845479,0.0009772298138120505,6.0469831514975425e-05,measured,0.9900919573235086,0.8551727500377965,0.8977717747637343,0.8926028011826127,-0.2604969851384433,4382.0,494.0,0.0,0.0,,Outer monthly target rebalance with weight drift; D+C internal costs already inside dc leg; outer 5bp on sleeve turnover only.,0.053105667189782726,258.0,Month-end close forms signal; execution next trading session; weights drift daily between rebalances; outer one-way bps on L1 turnover only.
frozen_60_40_spy_dc,0.11447121798917204,0.14899166324439858,0.8035484312960998,1.0107322749745165,-0.2976292367036927,517.0,0.38461012519121174,-0.15847404198742254,-0.16410067861716715,0.6880733944954128,0.7894736842105263,0.08081153565897904,1.4633470139588978,12.038781372845479,0.0014633470139588977,9.006079819307011e-05,measured,0.9482978178573465,0.7146265507603803,0.7971108418435122,0.7862496356806058,-0.45782975739752396,4382.0,517.0,-0.2572537321522522,4382.0,,Outer monthly target rebalance with weight drift; D+C internal costs already inside dc leg; outer 5bp on sleeve turnover only.,0.07950887033331919,258.0,Month-end close forms signal; execution next trading session; weights drift daily between rebalances; outer one-way bps on L1 turnover only.
